Graph ID,Edge ID,Guard Condition,Guard Type,Trigger References,VORTEX Signal,Boundary
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E001,,unlabeled_transition,,no,Extracted relation only; not an execution permission.
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E002,,unlabeled_transition,,no,Extracted relation only; not an execution permission.
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E003,,unlabeled_transition,,no,Extracted relation only; not an execution permission.
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E004,,unlabeled_transition,516,no,Extracted relation only; not an execution permission.
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E005,,unlabeled_transition,520,no,Extracted relation only; not an execution permission.
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E006,,unlabeled_transition,540,no,Extracted relation only; not an execution permission.
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E007,,unlabeled_transition,544,yes,Extracted relation only; not an execution permission.
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E008,,unlabeled_transition,777,no,Extracted relation only; not an execution permission.
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E009,,unlabeled_transition,,no,Extracted relation only; not an execution permission.
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E010,,unlabeled_transition,,no,Extracted relation only; not an execution permission.
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E011,,unlabeled_transition,,no,Extracted relation only; not an execution permission.
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E012,,unlabeled_transition,,no,Extracted relation only; not an execution permission.
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E013,,unlabeled_transition,,no,Extracted relation only; not an execution permission.
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E014,,unlabeled_transition,,no,Extracted relation only; not an execution permission.
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E015,,unlabeled_transition,174;210,no,Extracted relation only; not an execution permission.
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E016,,unlabeled_transition,600,no,Extracted relation only; not an execution permission.
ordner-02-codex-trigger-detail,ordner-02-codex-trigger-detail-E017,,unlabeled_transition,,no,Extracted relation only; not an execution permission.
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E001,,unlabeled_transition,,no,Extracted relation only; not an execution permission.
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E002,,unlabeled_transition,,no,Extracted relation only; not an execution permission.
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E003,,unlabeled_transition,,no,Extracted relation only; not an execution permission.
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E004,,unlabeled_transition,,no,Extracted relation only; not an execution permission.
ordner-05-produkte-services-detail,ordner-05-produkte-services-detail-E005,,unlabeled_transition,,no,Extracted relation only; not an execution permission.
