Source Handle,Source Label,File Handle,File Type,Bytes,SHA-256,Scan Chars,Message Markers,Axes,Publication Lane,Review Gates
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0001,conversation_json,49676,d40661aea16a40d8a2a29874a900f0f3149632ca684103e01761f3fe66819fb1,80592,12,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0002,conversation_json,222,ca9df7cb7f82e3b92acc22a2dd30d21027f565f6a805a6617cf4b265a7517080,133,0,chatgpt_export,chat_export_index_candidate,chat_export_index_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0003,conversation_json,147782,5b745016e515778d6f1a9fdf866c9be84a8f87d70bee0720e3c01b4a27e91a81,238014,6,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0004,conversation_json,222,17469877f3f0cc4372712f4d6377b36c8676f7990157619ee602d3758b310b57,133,0,chatgpt_export,chat_export_index_candidate,chat_export_index_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0005,conversation_json,149146,64b0f4ea5b7cdb1a4a92956d1dc1ca7b5ba5b66491c13616782c6cb04996debd,267289,112,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0006,conversation_json,15170,20d8fddc28b63ab5902a17f3f9b34f291ac8d652b7bc0dc48256388a5886f305,21108,0,chatgpt_export;control_tower;mermaid;notion_workspace;patent_ip;prism_zenodo,public_after_ip_review,ip_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0007,conversation_json,222,6d5beeae1dabed3b0d6a27122759ed9a32482c2bcb77218eafc36a7fe4d8bde0,133,0,chatgpt_export,chat_export_index_candidate,chat_export_index_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0008,conversation_json,222,3f989246dadaea278e38984d6bd3ae98bf4c0ba9894ee11a02e505a20fdb41af,133,0,chatgpt_export,chat_export_index_candidate,chat_export_index_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0009,conversation_json,222,31998ec6fc4f461b7b45254271e989ce7966211ea31bb3f4986c4f9e62f065ec,133,0,chatgpt_export,chat_export_index_candidate,chat_export_index_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0010,conversation_json,62742,c5a46137920012f2a48a3bc111ee34e443f5dec7a47baafcc042ea9c7e3f07f0,105286,16,chatgpt_export;control_tower;mermaid;notion_workspace;patent_ip;prism_zenodo,public_after_ip_review,ip_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0011,conversation_json,48356,97330e09758b8183bea886590abe3c83795b2edc5b9a892a5b505e42114f49f6,83022,22,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0012,conversation_json,21060,5e9058323cf3fa59e011ab64878db4a62c17c26a3eb4e1fe3ced2d675fa06215,38131,16,chatgpt_export;control_tower;mermaid;notion_workspace;prism_zenodo,diagram_correlation_candidate,mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0013,conversation_json,5799,983cb805b7525175250fc4acd67e308701714bd47ed08c1e3491280313e89ceb,7783,0,chatgpt_export;notion_workspace;patent_ip;prism_zenodo,public_after_ip_review,ip_review;evidence_apparatus_review;notion_correlation_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0014,conversation_json,90077,2c42eec981a1fe7d69bc1b00ded5573c41953f9e6596339cf469bec136ac6b2f,160567,48,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics,public_after_ip_review,ip_review;biz_tokenomics_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0015,conversation_json,46300,afa24c59b4b64f742e5ed8d0740bdf38dec36b0a218af48a8c6a613fa28b4348,78862,18,chatgpt_export;control_tower;mermaid;notion_workspace;patent_ip;prism_zenodo;trigger,public_after_ip_review,ip_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0016,conversation_json,222,ca9df7cb7f82e3b92acc22a2dd30d21027f565f6a805a6617cf4b265a7517080,133,0,chatgpt_export,chat_export_index_candidate,chat_export_index_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0017,conversation_json,147782,5b745016e515778d6f1a9fdf866c9be84a8f87d70bee0720e3c01b4a27e91a81,238014,6,chatgpt_export;control_tower;github_sync;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0018,conversation_json,31270,9fd680ddab4a88bd7c4d1e774837489cd4284cea5fb6b45583781eddbb73805a,48443,16,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0019,conversation_json,21327,9ed9274c9876ef58fe43c76002bd9d44ee61df041dc3da3fb9e3e6f99a021254,38057,16,chatgpt_export;control_tower;mermaid;notion_workspace;prism_zenodo,diagram_correlation_candidate,mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0020,conversation_json,20272,36e4c7808805e8a6c68537a8c7293a5807f4e60a0e093d01f46063f2e5a345e6,28541,6,chatgpt_export;control_tower;mermaid;metarotik;notion_workspace;patent_ip;prism_zenodo;tokenomics,public_after_ip_review,ip_review;biz_tokenomics_review;phenomenology_metarotik_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0021,conversation_json,11905,d235cc6c010883ef5f51d30b858b958c76cc3c19039b6f6b814773935afce13a,7834,0,chatgpt_export;mermaid;notion_workspace;patent_ip;prism_zenodo,public_after_ip_review,ip_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0022,conversation_json,1375,b356ad302867e9516f960450c8437351b9ceb6e301b50681a4cbdf4fc919e69a,1043,0,chatgpt_export;mermaid;patent_ip;prism_zenodo,public_after_ip_review,ip_review;mermaid_graph_review;evidence_apparatus_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0023,conversation_json,15993,0fcde345a7839f9651ee91aef1732f3ba7177d9a82d88db9c9c84e73aaa5ed53,10700,0,chatgpt_export;github_sync;prism_zenodo;trigger,trigger_correlation_candidate,trigger_source_review;evidence_apparatus_review;sync_trace_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0024,conversation_json,4090,b6f04528c9478c06805a024482e8c2f6b2c9e03692654e25d2ed12c7e7d869b6,3470,0,chatgpt_export;mermaid;patent_ip;prism_zenodo,public_after_ip_review,ip_review;mermaid_graph_review;evidence_apparatus_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0025,conversation_json,2582,9c892e5424e60b1752cd7d48bc67d0cd9c98fbf7f1e549752b1c6f64c09be5a5,1469,0,chatgpt_export;mermaid;prism_zenodo,diagram_correlation_candidate,mermaid_graph_review;evidence_apparatus_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0026,conversation_json,12725,f601f9abc83d77e561df88de659263c050c390244fa98aa0e6d56cff887488bc,10112,0,chatgpt_export;control_tower;mermaid;notion_workspace;patent_ip;prism_zenodo,public_after_ip_review,ip_review;mermaid_graph_review;evidence_apparatus_review;notion_correlation_review;control_tower_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0027,conversation_json,1629,3a683077047d28d7f953fd24b0987c69c063bd78ae2e99766e1fefbcedee7cfc,883,0,chatgpt_export,chat_export_index_candidate,chat_export_index_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0028,conversation_json,20693,4156024d7500b75fe828de028d4f94276b76fe28274eda3d832afeb2736d1ce2,18642,0,chatgpt_export;control_tower;github_sync;mermaid;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;mermaid_graph_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0029,conversation_json,6516,47d6c224eebc707bd17330d4792767b826b44cac516dbeb32d37a977d35bbff9,7316,0,chatgpt_export;control_tower;github_sync;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;evidence_apparatus_review;sync_trace_review;control_tower_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0030,conversation_json,16233,e3f71e3e7e4d334bc58dc3e7bd5444eb6f4bec5beb27e448f4c95c4738998fb1,15601,1,chatgpt_export;control_tower;github_sync;notion_workspace;patent_ip;prism_zenodo;tokenomics;trigger,public_after_ip_review,ip_review;biz_tokenomics_review;trigger_source_review;evidence_apparatus_review;sync_trace_review;notion_correlation_review;control_tower_review
xport-src-001,openai_project_conversations_2026_05_05,xport-src-001-file-0031,conversation_json,1073,4aee09186c126cfa1f4d0bdd9a145f120ebe020bccafdf45db213b447c272f3c,667,0,chatgpt_export;prism_zenodo,evidence_apparatus_candidate,evidence_apparatus_review
